Date,Close,High,Low,Volume,Open
4/13/2020 16:00:00,165.51,165.57,162.3,41905264,164.35
4/14/2020 16:00:00,173.7,173.75,168,52874338,169
4/15/2020 16:00:00,171.88,173.57,169.24,40940833,171.2
4/16/2020 16:00:00,177.04,177.28,172.9,50479610,174.3
4/17/2020 16:00:00,178.6,180,175.87,52765625,179.5
4/20/2020 16:00:00,175.06,178.75,174.99,36669595,176.63
4/21/2020 16:00:00,167.82,173.67,166.11,56203749,173.5
4/22/2020 16:00:00,173.52,174,170.82,34651604,171.39
4/23/2020 16:00:00,171.42,175.06,170.91,32790804,174.11
4/24/2020 16:00:00,174.55,174.56,170.71,34305320,172.06
4/27/2020 16:00:00,174.05,176.9,173.3,33194384,176.59
4/28/2020 16:00:00,169.81,175.67,169.39,34392694,175.59
4/29/2020 16:00:00,177.43,177.68,171.88,51286559,173.22
4/30/2020 16:00:00,179.21,180.4,176.23,53875857,180
05-01-2020 16:00,174.57,178.64,174.01,39370474,175.8
05-04-2020 16:00,178.84,179,173.8,30372862,174.49
05-05-2020 16:00,180.76,183.65,179.9,36839168,180.62
05-06-2020 16:00,182.54,184.2,181.63,32139299,182.08
05-07-2020 16:00,183.6,184.55,182.58,28315992,184.17
05-08-2020 16:00,184.68,185,183.36,30912638,184.98
05-11-2020 16:00,186.74,187.51,182.85,30892660,183.15
05-12-2020 16:00,182.51,187.04,182.3,32038199,186.8
5/13/2020 16:00:00,179.75,184.05,176.54,44711488,182.55
5/14/2020 16:00:00,180.53,180.69,175.68,41873911,177.54
5/15/2020 16:00:00,183.16,187.06,177,46610382,179.06
5/18/2020 16:00:00,184.91,186.2,183.96,35306620,185.75
5/19/2020 16:00:00,183.63,186.6,183.49,26799116,185.03
5/20/2020 16:00:00,185.66,185.85,183.94,31261334,184.81
5/21/2020 16:00:00,183.43,186.67,183.29,29119513,185.4
5/22/2020 16:00:00,183.51,184.46,182.54,20826898,183.19
5/26/2020 16:00:00,181.57,186.5,181.1,36073609,186.34
5/27/2020 16:00:00,181.81,181.99,176.6,39517146,180.2
5/28/2020 16:00:00,181.4,184.15,180.38,33831824,180.74
5/29/2020 16:00:00,183.25,184.27,180.41,42146720,182.73
06-01-2020 16:00,182.83,183,181.46,22668821,182.54
06-02-2020 16:00,184.91,185,181.35,30794585,184.25
06-03-2020 16:00,185.36,185.94,183.58,27311016,184.82
06-04-2020 16:00,182.92,185.84,182.3,28761809,184.3
06-05-2020 16:00,187.2,187.73,182.01,39893643,182.62
06-08-2020 16:00,188.36,188.55,184.44,33211590,185.94
06-09-2020 16:00,189.8,190.7,187.26,29783916,188
06-10-2020 16:00,196.84,198.52,191.01,43872329,191.13
06-11-2020 16:00,186.27,195.76,186.07,52854672,193.13
06-12-2020 16:00,187.74,191.72,185.18,43373587,190.54
6/15/2020 16:00:00,187.74,191.72,185.18,304831,190.54
6/16/2020 16:00:00,193.57,195.58,191.46,42556656,192.89
6/17/2020 16:00:00,194.24,196.32,193.69,25687822,195.03
6/18/2020 16:00:00,196.32,196.49,194,23061648,194
6/19/2020 16:00:00,195.15,199.29,194.37,44441141,198.59
6/22/2020 16:00:00,200.57,200.76,195.23,32818929,195.79
6/23/2020 16:00:00,201.91,203.95,201.43,30917447,202.09
6/24/2020 16:00:00,197.84,203.25,196.56,36740647,201.6
6/25/2020 16:00:00,200.34,200.61,195.47,27803933,197.8
6/26/2020 16:00:00,196.33,199.89,194.88,54675780,199.73
6/29/2020 16:00:00,198.44,198.53,193.55,26701586,195.78
6/30/2020 16:00:00,203.51,204.4,197.74,34310283,197.88
